"Options","Options"
"Enabled","Enabled"
"If set to 'No', Magento default ratings will be used","If set to 'No', Magento default ratings will be used"
"Ratings Per Category","Ratings Per Category"
"Settings","Settings"
"Default Rating for Store. <span style='color: red; font-size: 12px;'>(Please choose the store before manage ratings.)</span>","Default Rating for Store. <span style='color: red; font-size: 12px;'>(Please choose the store before manage ratings.)</span>"
